A,B,C,D,E,F
8,7,6,5,,
8,7,6,5,,
8,7,6,5,,
8,7,6,5,,
8,7,6,5,,
8,7,6,5,,
8,7,6,5,,
8,7,6,5,,
8,7,6,5,,
8,7,6,5,,
8,7,6,5,,
8,7,6,5,,
8,7,6,5,,
8,7,6,5,,
8,7,6,5,,
8,7,6,5,,
8,7,6,5,,
8,7,6,5,,
8,7,6,5,,
8,7,6,5,,
,8,,7,6,5
,8,,7,6,5
,8,,7,6,5
,8,,7,6,5
,8,,7,6,5
,8,,7,6,5
,8,,7,6,5
,8,,7,6,5
,8,,7,6,5
,8,,7,6,5
,8,,7,6,5
,8,,7,6,5
,8,,7,6,5
,8,,7,6,5
,8,,7,6,5
,8,,7,6,5
,8,,7,6,5
,8,,7,6,5
,8,,7,6,5
,8,,7,6,5
7,,6,,8
7,,6,,8
7,,6,,8
7,,6,,8
7,,6,,8
7,,6,,8
7,,6,,8
7,,6,,8
7,,6,,8
7,,6,,8
7,,6,,8
7,,6,,8
7,,6,,8
7,,6,,8
7,,6,,8
7,,6,,8
7,,6,,8
7,,6,,8
7,,6,,8
7,,6,,8
,,7,8,6,5
,,7,8,6,5
,,7,8,6,5
,,7,8,6,5
,,7,8,6,5
,,7,8,6,5
,,7,8,6,5
,,7,8,6,5
,,7,8,6,5
,,7,8,6,5
,,7,8,6,5
,,7,8,6,5
,,7,8,6,5
,,7,8,6,5
,,7,8,6,5
,,7,8,6,5
,,7,8,6,5
,,7,8,6,5
,,7,8,6,5
,,7,8,6,5
,6,8,7,,
,6,8,7,,
,6,8,7,,
,6,8,7,,
,6,8,7,,
,6,8,7,,
,6,8,7,,
,6,8,7,,
,6,8,7,,
,6,8,7,,
,6,8,7,,
,6,8,7,,
,6,8,7,,
,6,8,7,,
,6,8,7,,
,6,8,7,,
,6,8,7,,
,6,8,7,,
,6,8,7,,
